container,ship,workcode,state,year,voyage,block1,bay1,row1,tier1,block2,bay2,row2,tier2,truck_num,full_or_empty,container_size,crane,time_end
FAQQ5500809,CGGA,TS,change,2023,21,7D,38,6,3,7D,,,,999,F,20,258,2023-04-06 10:33:52
MFIP3123980,MGBO,TS,change,2023,14,7D,38,6,2,7D,,,,999,F,22,258,2023-04-06 10:34:15
GJTO2091375,MDHF,TS,change,2023,25,7B,21,6,5,7B,,,,999,F,45,252,2023-04-06 10:34:22
IEKO5031781,JKPF,TS,change,2023,17,7A,31,7,4,7A,,,,999,F,45,251,2023-04-06 10:34:46
IMWZ7318130,MDHF,TS,change,2023,25,7B,21,6,4,7B,,,,999,F,45,252,2023-04-06 10:36:15
TKYU1140873,SDIH,VL,unload,2023,27,8A,23,2,5,8A,,,,341,F,45,255,2023-04-06 10:34:40
ORQF2483089,RZSG,TS,change,2023,28,8B,13,7,4,8B,,,,999,F,45,256,2023-04-06 10:37:15
WVRL2799538,QSAT,GD,unload,2023,29,7D,38,6,1,7D,,,,999,F,22,258,2023-04-06 10:36:29
FVXG4496815,MDHF,TS,change,2023,25,7B,21,6,3,7B,,,,999,F,45,252,2023-04-06 10:37:15
LAKC9164678,YOSU,TS,change,2023,17,8B,13,7,3,8B,,,,999,F,45,256,2023-04-06 10:37:45
RABT2488277,YOSU,GD,unload,2023,17,7D,24,5,3,7D,,,,999,F,22,254,2023-04-06 10:37:45
IVCM3920212,SDIH,VL,unload,2023,27,7C,17,8,5,7C,,,,318,F,45,253,2023-04-06 10:36:40
EAZG8979939,MGBO,GD,unload,2023,14,7A,31,7,3,7A,,,,999,F,45,251,2023-04-06 10:39:54
NYYN5271860,YOSU,TS,change,2023,17,8C,19,8,3,8C,,,,999,F,22,257,2023-04-06 10:39:45
RBUQ8888249,YOSU,TS,change,2023,17,8C,19,8,2,8C,,,,999,F,22,257,2023-04-06 10:38:52
WMER3430031,YOSU,GD,unload,2023,17,8C,19,8,1,8C,,,,999,F,22,257,2023-04-06 10:40:43
EHSF2390656,MZPH,GD,unload,2023,18,8D,17,8,1,8D,,,,999,F,22,258,2023-04-06 10:44:43
BFYD2327814,ORGJ,TS,change,2023,23,7A,31,9,4,7A,,,,999,F,45,251,2023-04-06 10:40:23
SBRL6594326,YOSU,GD,unload,2023,17,8B,13,7,2,8B,,,,999,F,45,256,2023-04-06 10:47:47
TCTQ8845429,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,395,F,22,254,2023-04-06 10:40:29
XQYR5918099,UXAF,VU,load,2023,15,7D,22,0,0,7D,,,,395,F,22,254,2023-04-06 10:40:58
BAFZ2547860,RZSG,TS,change,2023,29,7C,27,1,4,7C,,,,999,F,45,253,2023-04-06 10:40:52
VRWR6087888,APTB,GD,unload,2023,17,7B,21,6,2,7B,,,,999,F,45,252,2023-04-06 10:40:18
RZDR6042967,YOSU,TS,change,2023,17,7A,31,9,3,7A,,,,999,F,45,251,2023-04-06 10:43:02
CUSG0728592,SLVN,TS,change,2023,23,8C,18,6,3,8C,,,,999,F,22,257,2023-04-06 10:42:22
QCMT6740825,AIYA,TS,change,2023,18,8D,19,6,1,8D,,,,999,F,22,258,2023-04-06 10:43:18
DCKU3198966,UXAF,VU,load,2023,15,7D,22,0,0,7D,,,,399,F,22,254,2023-04-06 10:42:58
GBIW9121173,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,399,F,22,254,2023-04-06 10:44:29
NTHI6321217,QSAT,VL,unload,2023,30,8B,23,4,4,8B,,,,309,F,45,256,2023-04-06 10:44:38
UUTL2932391,APTB,TS,change,2023,18,7A,31,9,2,7A,,,,999,F,45,251,2023-04-06 10:44:00
IFMS9874376,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,388,F,22,254,2023-04-06 10:46:16
NDNE7339894,UXAF,VU,load,2023,15,7D,22,0,0,7D,,,,388,F,22,254,2023-04-06 10:43:27
LSIZ8560161,MSMT,TS,change,2023,14,8C,18,6,2,8C,,,,999,F,22,257,2023-04-06 10:48:54
VOEK6233706,GNOR,GD,unload,2023,16,8C,18,6,1,8C,,,,999,F,22,257,2023-04-06 10:51:05
JMLO5334699,YOSU,TS,change,2023,17,7C,25,7,5,7C,,,,999,F,45,253,2023-04-06 10:47:14
IPYF3293806,TPCT,GD,unload,2023,22,7A,31,9,1,7A,,,,999,F,45,251,2023-04-06 10:48:36
DWUY4746676,UXAF,VU,load,2023,15,7D,22,0,0,7D,,,,398,F,22,254,2023-04-06 10:47:30
HZSV2637604,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,398,F,22,254,2023-04-06 10:48:48
YNBN3537605,NULK,TS,change,2023,15,7C,25,7,4,7C,,,,999,F,45,253,2023-04-06 10:48:47
VZPI0037587,QSAT,VL,unload,2023,30,8B,7,2,4,8B,,,,314,F,45,256,2023-04-06 10:48:09
RXIX6461334,SDIH,VL,unload,2023,27,8A,23,1,4,8A,,,,325,F,45,255,2023-04-06 10:51:03
LCTW1848238,ZKIE,GD,unload,2023,19,8C,30,7,3,8C,,,,999,F,22,257,2023-04-06 10:49:55
HXAD0462502,UXAF,VU,load,2023,15,7D,24,0,0,7D,,,,389,F,22,254,2023-04-06 10:49:45
XRUZ9351781,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,389,F,22,254,2023-04-06 10:49:48
AOMD7728723,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,390,F,22,258,2023-04-06 10:51:11
UUSW3587254,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,390,F,22,258,2023-04-06 10:50:35
WSEC5394724,RZSG,VU,load,2023,29,8A,23,0,0,8A,,,,360,F,45,255,2023-04-06 10:52:06
XQKW4233022,ESQU,TS,change,2023,21,8B,25,2,4,8B,,,,999,F,45,256,2023-04-06 10:52:51
JLYQ9248286,RZSG,VU,load,2023,29,7B,21,0,0,7B,,,,351,F,45,252,2023-04-06 10:53:34
LLIP8074521,RZSG,VU,load,2023,29,7D,23,0,0,7D,,,,349,F,22,254,2023-04-06 10:52:24
GKAB0341535,RZSG,VU,load,2023,29,7D,24,0,0,7D,,,,349,F,22,254,2023-04-06 10:54:08
KNSR1545626,RZSG,VU,load,2023,29,8A,23,0,0,8A,,,,350,F,45,255,2023-04-06 10:54:13
SXSN7398978,HXSD,GD,unload,2023,15,7A,23,3,5,7A,,,,999,F,45,251,2023-04-06 10:54:33
HPBP1500579,AMXM,GD,unload,2023,15,7C,23,2,1,7C,,,,999,F,45,253,2023-04-06 10:55:53
KBBJ3738366,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,345,F,22,258,2023-04-06 10:55:10
PJXP9893280,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,345,F,22,258,2023-04-06 10:55:05
XXIE6554391,ODLQ,GD,unload,2023,29,8B,25,2,3,8B,,,,999,F,45,256,2023-04-06 10:54:27
STKU9040221,UXAF,VU,load,2023,15,7D,24,0,0,7D,,,,344,F,22,254,2023-04-06 10:57:13
NJNU3038623,UXAF,VU,load,2023,15,7D,23,0,0,7D,,,,344,F,22,254,2023-04-06 10:55:40
ZVIH9661066,RZSG,VU,load,2023,29,7B,21,0,0,7B,,,,311,F,45,252,2023-04-06 10:58:16
BWBN1522215,JTRC,TS,change,2023,15,7A,9,3,4,7A,,,,999,F,45,251,2023-04-06 10:55:50
LNPB6525828,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,395,F,22,258,2023-04-06 10:58:34
UIEX8784935,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,395,F,22,258,2023-04-06 10:57:14
QMVZ2273847,RZSG,VU,load,2023,29,7D,23,0,0,7D,,,,358,F,22,254,2023-04-06 10:57:17
CSCJ3395196,RZSG,VU,load,2023,29,7D,24,0,0,7D,,,,358,F,22,254,2023-04-06 11:00:01
WBMO1952358,RZSG,VU,load,2023,29,8A,13,0,0,8A,,,,370,F,45,255,2023-04-06 10:58:17
KFNI5130056,TWYM,TS,change,2023,15,7A,9,3,3,7A,,,,999,F,45,251,2023-04-06 10:58:31
XKRF7495824,SKBN,GD,unload,2023,22,8C,25,5,2,8C,,,,999,F,22,257,2023-04-06 10:59:23
HZYB7731695,UKVE,GD,unload,2023,18,7C,25,7,3,7C,,,,999,F,45,253,2023-04-06 10:59:03
OVZQ7421537,TWYM,GD,unload,2023,15,7A,9,3,2,7A,,,,999,F,45,251,2023-04-06 10:59:18
YCTI8341238,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,399,F,22,258,2023-04-06 10:59:15
ELLR9688653,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,399,F,22,258,2023-04-06 11:09:29
IKBB5811563,MPFG,TS,change,2023,17,8B,13,4,5,8B,,,,999,F,45,256,2023-04-06 11:02:13
XJFX7856770,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,344,F,45,255,2023-04-06 11:02:33
RQXK8605816,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,387,F,22,258,2023-04-06 11:01:38
FQXD7128995,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,387,F,22,258,2023-04-06 11:01:31
WEOB0772620,UGAO,TS,change,2023,19,8B,13,4,4,8B,,,,999,F,45,256,2023-04-06 11:05:28
PSOA6943511,KMXV,TS,change,2023,23,7C,19,9,4,7C,,,,999,F,45,253,2023-04-06 11:02:31
UCRF7273300,YZCI,TS,change,2023,19,8C,6,8,3,8C,,,,999,F,22,257,2023-04-06 11:05:04
SFAL2587140,UXAF,VU,load,2023,15,7D,13,0,0,7D,,,,398,F,22,254,2023-04-06 11:04:55
MLMR3606135,ODLQ,GD,unload,2023,29,7A,15,4,5,7A,,,,999,F,45,251,2023-04-06 11:04:50
HOEK0136317,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,398,F,22,254,2023-04-06 11:04:55
VBIT2131830,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,395,F,45,252,2023-04-06 11:06:01
ECJW4685952,YZCI,TS,change,2023,19,8C,6,8,2,8C,,,,999,F,22,257,2023-04-06 11:05:05
QYSZ8841491,RMOD,TS,change,2023,14,8B,13,4,3,8B,,,,999,F,45,256,2023-04-06 11:05:46
FIUS7422048,RZSG,VU,load,2023,29,8D,18,0,0,8D,,,,331,F,22,258,2023-04-06 11:05:08
IMSO4989926,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,303,F,43,255,2023-04-06 11:04:56
EKGQ0339475,RZSG,VU,load,2023,29,8D,19,0,0,8D,,,,331,F,22,258,2023-04-06 11:05:17
FIBI0103163,MPFG,TS,change,2023,17,7C,19,9,3,7C,,,,999,F,45,253,2023-04-06 11:05:32
TKHF0174126,RZSG,VU,load,2023,29,7D,12,0,0,7D,,,,360,F,22,254,2023-04-06 11:05:38
ZLAJ9524045,RZSG,VU,load,2023,29,7D,13,0,0,7D,,,,360,F,22,254,2023-04-06 11:07:59
JYFX6703160,RMOD,TS,change,2023,14,8B,13,4,2,8B,,,,999,F,45,256,2023-04-06 11:06:32
PJXP7928319,TWYM,TS,change,2023,15,7C,19,9,2,7C,,,,999,F,45,253,2023-04-06 11:14:26
XWXO2448032,UXAF,VU,load,2023,15,7D,13,0,0,7D,,,,379,F,22,254,2023-04-06 11:07:45
EADP0258949,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,379,F,22,254,2023-04-06 11:07:44
EBKE8340016,UXAF,VU,load,2023,15,8D,18,0,0,8D,,,,390,F,22,258,2023-04-06 11:11:02
ZBRD1270204,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,344,F,45,252,2023-04-06 11:11:01
CUKW1504856,UXAF,VU,load,2023,15,8D,19,0,0,8D,,,,390,F,22,258,2023-04-06 11:08:43
BQHG8353169,XQHP,GD,unload,2023,21,8C,6,8,1,8C,,,,999,F,22,257,2023-04-06 11:15:49
LTCT0397193,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,355,F,45,255,2023-04-06 11:09:48
DKDS8452120,RMOD,GD,unload,2023,14,8B,13,4,1,8B,,,,999,F,45,256,2023-04-06 11:08:37
KZRP9168604,RZSG,VU,load,2023,29,7D,12,0,0,7D,,,,351,F,22,254,2023-04-06 11:10:42
KQVC7639515,RZSG,VU,load,2023,29,7D,13,0,0,7D,,,,351,F,22,254,2023-04-06 11:09:28
EIRK6058231,JTRC,GD,unload,2023,15,7C,19,9,1,7C,,,,999,F,45,253,2023-04-06 11:11:26
AHNM3691567,ODLQ,TS,change,2023,29,7A,15,1,4,7A,,,,999,F,45,251,2023-04-06 11:10:48
MRFJ5091694,RZSG,VU,load,2023,29,8D,15,0,0,8D,,,,337,F,22,258,2023-04-06 11:11:17
EPWU9382684,RZSG,VU,load,2023,29,8D,16,0,0,8D,,,,337,F,22,258,2023-04-06 11:11:56
YTWE7803804,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,395,F,45,255,2023-04-06 11:12:25
AIDX1291334,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,303,F,45,252,2023-04-06 11:11:54
KSTF0018147,UXAF,VU,load,2023,15,8D,15,0,0,8D,,,,399,F,22,258,2023-04-06 11:13:12
PZJG5751718,SSFG,GD,unload,2023,23,7A,15,1,3,7A,,,,999,F,45,251,2023-04-06 11:13:39
TJWK0535229,UXAF,VU,load,2023,15,8D,16,0,0,8D,,,,399,F,22,258,2023-04-06 11:14:53
PEZE2500268,UXAF,TS,change,2023,15,8B,1,5,4,8B,,,,999,F,45,256,2023-04-06 11:14:50
MZHN5125414,UXAF,VU,load,2023,15,7C,21,0,0,7C,,,,389,F,45,253,2023-04-06 11:19:02
TZLE3817959,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,344,F,45,255,2023-04-06 11:16:03
DLMG4485394,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,355,F,43,252,2023-04-06 11:15:52
VWCA6595895,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,395,F,43,255,2023-04-06 11:15:12
PGOJ9567949,UXAF,GD,unload,2023,15,8B,1,5,3,8B,,,,999,F,45,256,2023-04-06 11:15:41
CEYR9258844,YOSU,GD,unload,2023,17,7C,27,1,3,7C,,,,999,F,45,253,2023-04-06 11:16:47
RWNP8313550,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,303,F,45,255,2023-04-06 11:18:54
HBAD9996111,UXAF,TS,change,2023,15,8B,1,6,4,8B,,,,999,F,45,256,2023-04-06 11:17:39
GFSE9404550,UXAF,VU,load,2023,15,8A,13,0,0,8A,,,,344,F,45,255,2023-04-06 11:20:23
XAKW9096198,UXAF,GD,unload,2023,15,8B,1,6,3,8B,,,,999,F,45,256,2023-04-06 11:21:55
NDSQ2375304,RZSG,VU,load,2023,29,7B,23,0,0,7B,,,,327,F,45,252,2023-04-06 11:21:39
WQNG5175996,TWYM,GD,unload,2023,15,7C,13,1,5,7C,,,,999,F,45,253,2023-04-06 11:22:35
JBUS1276272,RZSG,VU,load,2023,29,7D,11,0,0,7D,,,,350,F,22,254,2023-04-06 11:23:36
FVXV9228432,RZSG,VU,load,2023,29,7D,12,0,0,7D,,,,350,F,22,254,2023-04-06 11:23:53
TQGW9634108,SSFG,GD,unload,2023,23,7A,15,5,5,7A,,,,999,F,45,251,2023-04-06 11:23:46
GTML2223040,TPCT,TS,change,2023,22,8B,11,3,3,8B,,,,999,F,45,256,2023-04-06 11:24:15
AXXJ7048077,UXAF,VU,load,2023,15,8D,15,0,0,8D,,,,387,F,22,258,2023-04-06 11:25:52
KZTM1463359,UXAF,VU,load,2023,15,8D,16,0,0,8D,,,,387,F,22,258,2023-04-06 11:23:56
TMSZ7258463,ESQU,TS,change,2023,21,7C,11,9,5,7C,,,,999,F,45,253,2023-04-06 11:25:14
TFJQ3200211,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,395,F,43,252,2023-04-06 11:27:25
UNVB4718666,RZSG,VU,load,2023,29,8A,13,0,0,8A,,,,358,F,45,255,2023-04-06 11:24:59
ZYDD6213587,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,398,F,22,254,2023-04-06 11:27:54
WOLE4757025,WXWA,TS,change,2023,15,8B,11,3,2,8B,,,,999,F,45,256,2023-04-06 11:28:27
VVYT6633186,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,398,F,22,254,2023-04-06 11:25:22
MXGA6009125,UXAF,VU,load,2023,15,7A,15,0,0,7A,,,,388,F,45,251,2023-04-06 11:28:29
HRJD7751884,XRWU,TS,change,2023,22,7B,25,8,3,7B,,,,999,F,45,252,2023-04-06 11:28:26
QINP3371189,YOSU,GD,unload,2023,17,8C,22,5,3,8C,,,,999,F,22,257,2023-04-06 11:28:14
PRQJ3432909,RZSG,VU,load,2023,29,8A,13,0,0,8A,,,,327,F,45,255,2023-04-06 11:29:40
KZIF4607315,TPCT,GD,unload,2023,22,7C,11,9,4,7C,,,,999,F,45,253,2023-04-06 11:28:38
ICML9938167,UXAF,VU,load,2023,15,8D,15,0,0,8D,,,,390,F,22,258,2023-04-06 11:28:34
ETGW3974104,UXAF,VU,load,2023,15,8B,11,0,0,8B,,,,355,F,45,256,2023-04-06 11:29:03
YYSC0803013,UXAF,VU,load,2023,15,8D,16,0,0,8D,,,,390,F,22,258,2023-04-06 11:30:13
ADAH8214149,RZSG,VU,load,2023,29,7A,15,0,0,7A,,,,310,F,45,251,2023-04-06 11:34:42
OOOT7444369,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,345,F,22,254,2023-04-06 11:31:22
SZFF6705586,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,345,F,22,254,2023-04-06 11:29:32
IICK9248550,UXAF,VU,load,2023,15,7C,9,0,0,7C,,,,303,F,45,253,2023-04-06 11:31:11
OMGI6317661,ODLQ,GD,unload,2023,29,8B,9,6,4,8B,,,,999,F,45,256,2023-04-06 11:31:45
STKB2308779,UXAF,VU,load,2023,15,7B,23,0,0,7B,,,,344,F,45,252,2023-04-06 11:30:56
DEZN3337342,UXAF,VU,load,2023,15,8D,15,0,0,8D,,,,399,F,22,258,2023-04-06 11:33:20
ZZQX1568467,UXAF,VU,load,2023,15,8D,16,0,0,8D,,,,399,F,22,258,2023-04-06 11:31:02
TIHR3355533,RZSG,VU,load,2023,29,7A,15,0,0,7A,,,,304,F,45,251,2023-04-06 11:34:14
TLJE2322255,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,387,F,22,254,2023-04-06 11:34:22
QANA6757511,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,387,F,22,254,2023-04-06 11:33:53
BYPH6498185,UXAF,TS,change,2023,15,8A,27,7,4,8A,,,,999,F,45,255,2023-04-06 11:34:24
MTKF5294389,SSFG,GD,unload,2023,23,8C,10,6,3,8C,,,,999,F,22,257,2023-04-06 11:34:21
OGNS1955874,VXUR,TS,change,2023,16,7B,25,1,4,7B,,,,999,F,45,252,2023-04-06 11:34:15
WEUB4049799,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,353,F,22,254,2023-04-06 11:34:31
BZZK6540463,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,353,F,22,254,2023-04-06 11:36:52
KNYY0831335,SSFG,TS,change,2023,23,7C,29,4,2,7C,,,,999,F,45,253,2023-04-06 11:35:42
KBLD1919630,RZSG,VU,load,2023,29,8B,9,0,0,8B,,,,349,F,45,256,2023-04-06 11:36:09
YHQX7514894,TWYM,TS,change,2023,15,7B,25,1,3,7B,,,,999,F,45,252,2023-04-06 11:37:49
QLRW4139458,UXAF,GD,unload,2023,15,8A,25,3,4,8A,,,,999,F,45,255,2023-04-06 11:37:57
RRUW0101461,RZSG,VU,load,2023,29,7A,15,0,0,7A,,,,327,F,45,251,2023-04-06 11:38:46
ERVS2347992,ZKIE,TS,change,2023,21,8C,15,5,3,8C,,,,999,F,22,257,2023-04-06 11:38:33
LQOI5312728,RZSG,VU,load,2023,29,7C,29,0,0,7C,,,,310,F,45,253,2023-04-06 11:38:33
YMTI6310004,JTRC,TS,change,2023,15,8B,21,7,4,8B,,,,999,F,45,256,2023-04-06 11:39:05
KLRE5160681,AMXM,GD,unload,2023,15,8D,19,4,3,8D,,,,999,F,22,258,2023-04-06 11:40:35
CDDZ2713092,XQHP,GD,unload,2023,21,7B,25,1,2,7B,,,,999,F,45,252,2023-04-06 11:41:03
BPVE7864277,SDIH,VL,unload,2023,27,7D,32,4,2,7D,,,,318,F,22,254,2023-04-06 11:40:46
FDRG6905948,RZSG,VU,load,2023,29,7A,13,0,0,7A,,,,304,F,45,251,2023-04-06 11:39:34
HDRL6442282,TWYM,GD,unload,2023,15,8B,21,7,3,8B,,,,999,F,45,256,2023-04-06 11:44:53
UZYV3612185,RZSG,VU,load,2023,29,8A,13,0,0,8A,,,,331,F,43,255,2023-04-06 11:42:14
SWNF7355880,SSFG,GD,unload,2023,23,7C,29,4,1,7C,,,,999,F,45,253,2023-04-06 11:41:24
HXXI0760120,YOSU,TS,change,2023,17,8C,15,5,2,8C,,,,999,F,22,257,2023-04-06 11:40:49
LQJR2406824,TWYM,TS,change,2023,15,7D,27,3,3,7D,,,,999,F,22,254,2023-04-06 11:45:05
ECPH4862988,TWYM,GD,unload,2023,15,8D,11,6,2,8D,,,,999,F,22,258,2023-04-06 11:43:13
ZCEE4391486,RZSG,VU,load,2023,29,7A,13,0,0,7A,,,,349,F,45,251,2023-04-06 11:44:24
PVDH9864569,TWYM,TS,change,2023,15,7D,27,3,2,7D,,,,999,F,22,254,2023-04-06 11:44:34
OIYI2119979,RZSG,VU,load,2023,29,8B,21,0,0,8B,,,,317,F,45,256,2023-04-06 11:44:54
BDCG8547964,YOSU,GD,unload,2023,17,8C,15,5,1,8C,,,,999,F,22,257,2023-04-06 11:43:34
BAFZ2547860,RZSG,GD,unload,2023,29,7C,27,6,5,7C,,,,999,F,45,253,2023-04-06 11:42:48
EMPU1952374,ODLQ,GD,unload,2023,29,7B,15,4,2,7B,,,,999,F,45,252,2023-04-06 11:46:11
JHDI2319415,EEYN,GD,unload,2023,22,8A,27,7,3,8A,,,,999,F,40,255,2023-04-06 11:45:53
VTVD3142596,SSFG,TS,change,2023,23,8B,25,9,4,8B,,,,999,F,45,256,2023-04-06 11:57:17
VCGZ7117205,TWYM,GD,unload,2023,15,7D,27,3,1,7D,,,,999,F,22,254,2023-04-06 11:51:34
UCKG3903584,KMXV,TS,change,2023,23,7C,19,4,5,7C,,,,999,F,45,253,2023-04-06 11:49:36
PSRI4088918,MGBO,GD,unload,2023,14,7A,7,5,3,7A,,,,999,F,45,251,2023-04-06 11:47:21
JCOB6232159,MDHF,TS,change,2023,25,8B,25,9,3,8B,,,,999,F,45,256,2023-04-06 11:47:24
EDPV8872649,UXAF,TS,change,2023,15,7D,19,2,3,7D,,,,999,F,22,254,2023-04-06 11:50:39
WLAS7317066,YOSU,GD,unload,2023,17,8C,23,9,2,8C,,,,999,F,22,257,2023-04-06 11:50:52
ZHVG0661935,SLVN,TS,change,2023,23,8A,5,7,4,8A,,,,999,F,45,255,2023-04-06 11:50:59
PYHM9015930,JXQD,GD,unload,2023,12,8D,26,5,2,8D,,,,999,F,22,258,2023-04-06 11:51:02
NFLG0999926,YOSU,GD,unload,2023,17,8B,25,9,2,8B,,,,999,F,45,256,2023-04-06 11:51:56
JKMP4464224,SLVN,TS,change,2023,23,8A,5,7,3,8A,,,,999,F,45,255,2023-04-06 11:51:46
PXGG0377742,UXAF,TS,change,2023,15,7D,19,2,2,7D,,,,999,F,22,254,2023-04-06 11:52:56
ZOSF6935022,SLVN,TS,change,2023,23,8A,5,7,2,8A,,,,999,F,45,255,2023-04-06 11:51:26
FCKE3447314,SSFG,TS,change,2023,23,7A,29,1,4,7A,,,,999,F,45,251,2023-04-06 11:52:40
JKXR7101122,YOSU,GD,unload,2023,17,7C,19,4,4,7C,,,,999,F,45,253,2023-04-06 11:54:08
WNVE8491025,RZSG,VU,load,2023,29,7B,15,0,0,7B,,,,339,F,45,252,2023-04-06 11:56:38
PBBU3690709,HXSD,TS,change,2023,15,7A,29,1,3,7A,,,,999,F,45,251,2023-04-06 11:55:21
OVHL3812256,UXAF,GD,unload,2023,15,7D,19,2,1,7D,,,,999,F,22,254,2023-04-06 11:54:16
NYMR2751931,QSAT,VL,unload,2023,30,8C,6,4,1,8C,,,,385,F,22,257,2023-04-06 11:54:42
BYAS1634505,QSAT,VL,unload,2023,30,8D,12,4,3,8D,,,,348,F,22,258,2023-04-06 11:55:53
QEVD2292881,JTMB,GD,unload,2023,17,8A,5,7,1,8A,,,,999,F,45,255,2023-04-06 11:56:57
QJEQ8121948,RZSG,VU,load,2023,29,7C,19,0,0,7C,,,,327,F,45,253,2023-04-06 11:57:58
BPKG1087987,RZSG,VU,load,2023,29,7B,15,0,0,7B,,,,310,F,45,252,2023-04-06 11:58:03
PEZV0998352,QSAT,VL,unload,2023,30,8B,5,3,4,8B,,,,323,F,45,256,2023-04-06 12:00:36
VJLP7846862,QSAT,VL,unload,2023,30,8D,12,7,3,8D,,,,348,F,22,258,2023-04-06 12:01:05
HBCU0878024,QSAT,VL,unload,2023,30,7D,17,4,4,7D,,,,307,F,22,254,2023-04-06 11:58:35
AFNZ9729788,YOSU,GD,unload,2023,17,7A,29,1,2,7A,,,,999,F,45,251,2023-04-06 11:59:17
TFJQ3200211,UXAF,TS,change,2023,15,7B,23,3,5,7B,,,,999,F,43,252,2023-04-06 12:00:13
VHQX3790517,QSAT,VL,unload,2023,30,8D,12,1,1,8D,,,,374,F,22,258,2023-04-06 11:59:50
VYSA5673457,QSAT,VL,unload,2023,30,8C,9,1,2,8C,,,,385,F,22,257,2023-04-06 11:58:58
JPBN7236177,QSAT,VL,unload,2023,30,7D,27,5,3,7D,,,,307,F,22,254,2023-04-06 12:02:19
TIHR3355533,RZSG,TS,change,2023,29,7A,15,6,4,7A,,,,999,F,45,251,2023-04-06 12:02:41
EGZF8790370,QSAT,VL,unload,2023,30,8C,9,5,2,8C,,,,301,F,22,257,2023-04-06 12:09:55
SHDC3780032,QSAT,VL,unload,2023,30,8B,19,6,3,8B,,,,378,F,45,256,2023-04-06 12:03:43
VBIT2131830,UXAF,GD,unload,2023,15,7B,23,3,4,7B,,,,999,F,45,252,2023-04-06 12:02:22
BJJV1284025,QSAT,VL,unload,2023,30,8D,16,7,3,8D,,,,374,F,22,258,2023-04-06 12:05:44
MXGA6009125,UXAF,TS,change,2023,15,7A,15,6,3,7A,,,,999,F,45,251,2023-04-06 12:02:45
PPBH9109415,SDIH,VL,unload,2023,27,7C,11,2,5,7C,,,,330,F,45,253,2023-04-06 12:04:36
BMHS3933991,TWYM,GD,unload,2023,15,7D,38,8,3,7D,,,,999,F,22,254,2023-04-06 12:10:05
CJAJ4714749,YOSU,TS,change,2023,17,8D,24,7,3,8D,,,,999,F,22,258,2023-04-06 12:05:53
FREM6158847,UXAF,VU,load,2023,15,8B,19,0,0,8B,,,,355,F,45,256,2023-04-06 12:04:38
AHNM3691567,ODLQ,GD,unload,2023,29,7A,15,6,2,7A,,,,999,F,45,251,2023-04-06 12:06:14
CJAJ4714749,YOSU,TS,change,2023,17,8D,24,2,3,8D,,,,999,F,22,258,2023-04-06 12:07:04
SZKH2458107,QSAT,VL,unload,2023,30,8C,21,7,3,8C,,,,301,F,22,257,2023-04-06 12:06:31
RZPM9964394,UXAF,VU,load,2023,15,7B,19,0,0,7B,,,,343,F,45,252,2023-04-06 12:08:59
JHXV9916270,RZSG,VU,load,2023,29,7C,11,0,0,7C,,,,304,F,45,253,2023-04-06 12:10:28
KEGV1816078,TWYM,TS,change,2023,15,8A,27,8,4,8A,,,,999,F,45,255,2023-04-06 12:09:22
CHLO1435014,SDIH,VL,unload,2023,27,8B,5,4,4,8B,,,,315,F,45,256,2023-04-06 12:10:30
